State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Total - Cases,Total - Injured,Total - Died,alcintake2016,overspeed2016,wrongside2016,lanejumping2016
Telangana,Unknown,2021.0,August,Friday,18:57,Serious,3,Bus,6,3.0,Foggy,National Highway,Wet,Dawn,Police Checkpost,47.0,54,Male,Valid,No,Intersection,22903.0,21022.0,7660.0,202.0,13615.0,156.0,37.0
Arunachal Pradesh,Unknown,2018.0,August,Friday,12:6,Minor,4,Cycle,4,5.0,Stormy,State Highway,Under Construction,Dusk,Signals,60.0,44,Female,,No,Curve,233.0,218.0,136.0,15.0,45.0,7.0,11.0
Andhra Pradesh,Tirupati,2019.0,October,Sunday,12:47,Minor,2,Cycle,7,4.0,Rainy,Village Road,Damaged,Dark,Signs,90.0,51,Female,Valid,No,Curve,19949.0,20409.0,8137.0,128.0,17286.0,667.0,325.0
Karnataka,Bangalore,2023.0,October,Thursday,18:59,Fatal,5,Car,10,2.0,Hazy,Village Road,Wet,Dark,Signs,114.0,51,Female,Expired,No,Intersection,43439.0,52547.0,12322.0,396.0,31506.0,900.0,292.0
Sikkim,Unknown,2023.0,November,Wednesday,10:51,Serious,3,Auto-Rickshaw,7,1.0,Rainy,National Highway,Under Construction,Dawn,Signs,80.0,55,Male,Valid,Yes,Bridge,174.0,376.0,68.0,12.0,45.0,20.0,0.0
Chhattisgarh,Unknown,2022.0,April,Saturday,6:39,Fatal,3,Car,7,5.0,Foggy,State Highway,Wet,Daylight,Signs,46.0,57,Female,Valid,Yes,Straight Road,13469.0,11724.0,6166.0,145.0,6660.0,410.0,175.0
Madhya Pradesh,Unknown,2018.0,June,Tuesday,8:10,Serious,5,Two-Wheeler,6,3.0,Rainy,Urban Road,Dry,Dusk,Signals,30.0,20,Female,Expired,Yes,Bridge,54763.0,54699.0,14098.0,3083.0,28017.0,1300.0,657.0
Puducherry,Unknown,2022.0,February,Wednesday,1:35,Serious,2,Car,10,3.0,Hazy,Urban Road,Dry,Dusk,Signs,55.0,41,Female,Valid,No,Straight Road,1308.0,1578.0,149.0,82.0,1297.0,90.0,0.0
Uttar Pradesh,Varanasi,2022.0,July,Friday,18:51,Fatal,1,Two-Wheeler,9,4.0,Clear,National Highway,Wet,Dawn,Signals,34.0,23,Female,Expired,Yes,Bridge,37764.0,23843.0,23947.0,4633.0,10184.0,2560.0,1123.0
Maharashtra,Nagpur,2022.0,December,Tuesday,13:34,Serious,3,Cycle,1,3.0,Foggy,National Highway,Dry,Daylight,,106.0,48,Male,,No,Intersection,31347.0,28212.0,15434.0,226.0,23643.0,1922.0,765.0
Jammu and Kashmir,Unknown,2022.0,February,Monday,3:29,Serious,1,Two-Wheeler,1,1.0,Foggy,Urban Road,Damaged,Dawn,Police Checkpost,31.0,20,Male,,No,Straight Road,6300.0,8416.0,897.0,,,,
Tamil Nadu,Madurai,2018.0,August,Tuesday,11:10,Fatal,3,Auto-Rickshaw,2,2.0,Stormy,National Highway,Wet,Daylight,Police Checkpost,92.0,43,Female,,Yes,Intersection,67213.0,72292.0,18347.0,531.0,47055.0,3209.0,2367.0
Madhya Pradesh,Unknown,2019.0,April,Wednesday,15:58,Minor,2,Pedestrian,7,5.0,Clear,State Highway,Under Construction,Daylight,Police Checkpost,71.0,65,Male,,No,Straight Road,54763.0,54699.0,14098.0,3083.0,28017.0,1300.0,657.0
Madhya Pradesh,Unknown,2023.0,August,Wednesday,0:54,Fatal,1,Car,10,1.0,Stormy,National Highway,Damaged,Dusk,,90.0,64,Female,Expired,No,Bridge,54763.0,54699.0,14098.0,3083.0,28017.0,1300.0,657.0
Chandigarh,Unknown,2019.0,March,Friday,15:42,Serious,2,Bus,8,0.0,Stormy,Village Road,Wet,Daylight,Signals,83.0,31,Female,Expired,No,Curve,182.0,171.0,67.0,9.0,380.0,17.0,5.0
Uttar Pradesh,Varanasi,2018.0,May,Sunday,10:53,Minor,3,Two-Wheeler,2,1.0,Hazy,National Highway,Under Construction,Dusk,,33.0,24,Female,Valid,Yes,Straight Road,37764.0,23843.0,23947.0,4633.0,10184.0,2560.0,1123.0
Gujarat,Surat,2019.0,March,Thursday,15:1,Fatal,2,Car,7,0.0,Stormy,State Highway,Under Construction,Dawn,Signs,69.0,51,Female,Valid,No,Bridge,16349.0,15383.0,7854.0,64.0,13314.0,733.0,662.0
Uttar Pradesh,Lucknow,2022.0,November,Tuesday,9:25,Fatal,1,Bus,0,3.0,Clear,National Highway,Under Construction,Dark,Signals,53.0,63,Male,Valid,No,Straight Road,37764.0,23843.0,23947.0,4633.0,10184.0,2560.0,1123.0
Maharashtra,Mumbai,2020.0,July,Saturday,23:21,Serious,5,Bus,6,2.0,Hazy,Urban Road,Damaged,Dawn,Signs,82.0,68,Female,Valid,No,Curve,31347.0,28212.0,15434.0,226.0,23643.0,1922.0,765.0
Odisha,Unknown,2018.0,July,Thursday,12:1,Minor,3,Auto-Rickshaw,7,2.0,Stormy,State Highway,Damaged,Dark,Signs,79.0,41,Male,Valid,Yes,Curve,11989.0,10367.0,5737.0,,,,
Telangana,Unknown,2023.0,August,Saturday,17:37,Minor,2,Pedestrian,8,3.0,Stormy,National Highway,Dry,Dawn,,30.0,40,Male,,Yes,Bridge,22903.0,21022.0,7660.0,202.0,13615.0,156.0,37.0
West Bengal,Durgapur,2023.0,February,Sunday,11:2,Serious,3,Cycle,9,5.0,Hazy,Village Road,Damaged,Dark,,106.0,25,Female,Expired,Yes,Straight Road,10400.0,8115.0,5703.0,462.0,1473.0,93.0,53.0
Kerala,Unknown,2019.0,January,Tuesday,16:3,Fatal,2,Car,3,1.0,Foggy,State Highway,Damaged,Dawn,,102.0,32,Female,Expired,No,Bridge,45981.0,54326.0,4080.0,133.0,34062.0,1254.0,121.0
Assam,Unknown,2020.0,July,Thursday,19:18,Minor,2,Car,1,5.0,Foggy,National Highway,Under Construction,Dawn,,48.0,69,Female,Expired,No,Curve,7421.0,5917.0,3296.0,352.0,3520.0,334.0,156.0
Nagaland,Unknown,2018.0,June,Saturday,17:43,Minor,5,Truck,5,3.0,Foggy,Urban Road,Under Construction,Dusk,Police Checkpost,32.0,65,Male,Valid,No,Intersection,35.0,46.0,37.0,13.0,11.0,0.0,0.0
Meghalaya,Unknown,2022.0,February,Monday,6:20,Serious,1,Truck,4,1.0,Hazy,Urban Road,Under Construction,Dusk,Signs,59.0,60,Male,Valid,No,Straight Road,232.0,259.0,168.0,35.0,146.0,0.0,0.0
Chhattisgarh,Unknown,2022.0,February,Wednesday,17:8,Fatal,2,Truck,5,5.0,Rainy,National Highway,Under Construction,Daylight,,88.0,53,Female,Expired,No,Bridge,13469.0,11724.0,6166.0,145.0,6660.0,410.0,175.0
Gujarat,Surat,2022.0,July,Tuesday,20:19,Serious,5,Auto-Rickshaw,2,2.0,Foggy,Village Road,Damaged,Dusk,Signs,83.0,56,Male,Valid,No,Intersection,16349.0,15383.0,7854.0,64.0,13314.0,733.0,662.0
West Bengal,Kolkata,2020.0,April,Friday,7:58,Minor,2,Auto-Rickshaw,2,5.0,Clear,State Highway,Under Construction,Dawn,,58.0,47,Female,Valid,No,Bridge,10400.0,8115.0,5703.0,462.0,1473.0,93.0,53.0
West Bengal,Kolkata,2018.0,December,Sunday,7:46,Serious,5,Cycle,2,5.0,Rainy,Village Road,Damaged,Dark,Signals,30.0,20,Male,Valid,Yes,Straight Road,10400.0,8115.0,5703.0,462.0,1473.0,93.0,53.0
Tripura,Unknown,2022.0,February,Sunday,10:52,Serious,1,Truck,8,1.0,Foggy,National Highway,Damaged,Dawn,Signs,104.0,42,Male,Valid,No,Curve,577.0,609.0,261.0,5.0,413.0,15.0,0.0
Karnataka,Bangalore,2021.0,February,Wednesday,22:36,Minor,3,Truck,1,5.0,Rainy,Urban Road,Under Construction,Dark,Police Checkpost,93.0,44,Male,,Yes,Intersection,43439.0,52547.0,12322.0,396.0,31506.0,900.0,292.0
West Bengal,Durgapur,2021.0,November,Friday,9:4,Minor,3,Auto-Rickshaw,4,4.0,Foggy,State Highway,Damaged,Dark,Signs,82.0,53,Male,,No,Intersection,10400.0,8115.0,5703.0,462.0,1473.0,93.0,53.0
Chhattisgarh,Unknown,2020.0,January,Tuesday,19:34,Fatal,5,Cycle,0,2.0,Rainy,Village Road,Wet,Daylight,Signs,82.0,48,Male,Valid,Yes,Curve,13469.0,11724.0,6166.0,145.0,6660.0,410.0,175.0
Himachal Pradesh,Unknown,2019.0,October,Wednesday,5:0,Serious,2,Car,2,5.0,Stormy,Village Road,Under Construction,Daylight,Signs,108.0,37,Female,,Yes,Intersection,2255.0,3301.0,885.0,72.0,516.0,21.0,78.0
Gujarat,Ahmedabad,2023.0,May,Sunday,4:33,Minor,4,Auto-Rickshaw,9,4.0,Hazy,National Highway,Dry,Dusk,,41.0,49,Female,Valid,No,Curve,16349.0,15383.0,7854.0,64.0,13314.0,733.0,662.0
Gujarat,Ahmedabad,2019.0,December,Wednesday,0:26,Fatal,4,Two-Wheeler,3,5.0,Rainy,State Highway,Wet,Dusk,,61.0,51,Female,,No,Intersection,16349.0,15383.0,7854.0,64.0,13314.0,733.0,662.0
Uttar Pradesh,Kanpur,2018.0,May,Thursday,18:57,Minor,2,Two-Wheeler,6,2.0,Rainy,National Highway,Wet,Dusk,,109.0,30,Male,Valid,No,Bridge,37764.0,23843.0,23947.0,4633.0,10184.0,2560.0,1123.0
Odisha,Unknown,2022.0,August,Tuesday,22:43,Fatal,4,Two-Wheeler,1,3.0,Foggy,National Highway,Under Construction,Daylight,,30.0,57,Male,Expired,No,Curve,11989.0,10367.0,5737.0,,,,
Uttarakhand,Unknown,2022.0,May,Sunday,9:10,Minor,5,Auto-Rickshaw,1,4.0,Hazy,State Highway,Damaged,Dawn,Police Checkpost,114.0,25,Female,,Yes,Straight Road,1691.0,1488.0,1054.0,40.0,736.0,105.0,0.0
Chhattisgarh,Unknown,2021.0,April,Saturday,5:38,Serious,4,Pedestrian,6,4.0,Foggy,State Highway,Dry,Dusk,Signals,37.0,22,Male,Valid,Yes,Intersection,13469.0,11724.0,6166.0,145.0,6660.0,410.0,175.0
Karnataka,Mangalore,2020.0,October,Thursday,20:21,Serious,2,Bus,1,5.0,Hazy,State Highway,Under Construction,Dark,Signs,50.0,44,Male,Expired,No,Straight Road,43439.0,52547.0,12322.0,396.0,31506.0,900.0,292.0
Uttarakhand,Unknown,2022.0,February,Sunday,0:35,Serious,1,Car,8,1.0,Stormy,National Highway,Wet,Dark,Police Checkpost,89.0,20,Male,,No,Intersection,1691.0,1488.0,1054.0,40.0,736.0,105.0,0.0
Arunachal Pradesh,Unknown,2023.0,February,Friday,22:31,Fatal,2,Two-Wheeler,9,2.0,Rainy,State Highway,Under Construction,Daylight,Police Checkpost,117.0,59,Male,,Yes,Bridge,233.0,218.0,136.0,15.0,45.0,7.0,11.0
West Bengal,Siliguri,2022.0,November,Tuesday,0:24,Fatal,5,Cycle,7,4.0,Rainy,State Highway,Wet,Dawn,Signs,45.0,56,Female,,No,Bridge,10400.0,8115.0,5703.0,462.0,1473.0,93.0,53.0
Chhattisgarh,Unknown,2018.0,April,Monday,7:9,Serious,3,Two-Wheeler,8,3.0,Foggy,State Highway,Dry,Dawn,,70.0,62,Female,Valid,Yes,Bridge,13469.0,11724.0,6166.0,145.0,6660.0,410.0,175.0
Haryana,Unknown,2021.0,August,Sunday,8:33,Fatal,1,Two-Wheeler,6,4.0,Hazy,State Highway,Dry,Dark,Signals,60.0,56,Female,,No,Intersection,11083.0,8666.0,5401.0,529.0,2344.0,913.0,690.0
Andhra Pradesh,Vijayawada,2022.0,January,Monday,7:51,Minor,1,Pedestrian,0,0.0,Clear,National Highway,Dry,Dawn,,95.0,51,Female,Expired,No,Bridge,19949.0,20409.0,8137.0,128.0,17286.0,667.0,325.0
Assam,Unknown,2023.0,June,Saturday,6:10,Fatal,2,Bus,6,0.0,Clear,Urban Road,Dry,Dusk,Signals,31.0,54,Female,Expired,No,Straight Road,7421.0,5917.0,3296.0,352.0,3520.0,334.0,156.0
Himachal Pradesh,Unknown,2018.0,October,Saturday,10:6,Minor,1,Cycle,6,3.0,Foggy,Village Road,Damaged,Dawn,,85.0,55,Male,Valid,No,Intersection,2255.0,3301.0,885.0,72.0,516.0,21.0,78.0
Odisha,Unknown,2019.0,June,Thursday,21:56,Fatal,5,Two-Wheeler,2,3.0,Hazy,Village Road,Dry,Daylight,Police Checkpost,110.0,48,Male,Valid,Yes,Curve,11989.0,10367.0,5737.0,,,,
Telangana,Unknown,2019.0,August,Saturday,10:54,Serious,3,Bus,3,2.0,Foggy,National Highway,Wet,Dawn,Signs,90.0,66,Male,Valid,No,Intersection,22903.0,21022.0,7660.0,202.0,13615.0,156.0,37.0
Uttarakhand,Unknown,2021.0,February,Thursday,20:23,Serious,1,Auto-Rickshaw,5,0.0,Foggy,Urban Road,Wet,Dark,,61.0,35,Male,Expired,No,Straight Road,1691.0,1488.0,1054.0,40.0,736.0,105.0,0.0
Goa,Unknown,2018.0,February,Saturday,15:1,Fatal,3,Auto-Rickshaw,0,4.0,Clear,Village Road,Damaged,Dawn,,35.0,23,Female,,Yes,Curve,2847.0,1180.0,292.0,3.0,3883.0,19.0,0.0
Chandigarh,Unknown,2023.0,August,Wednesday,17:55,Fatal,4,Auto-Rickshaw,2,5.0,Rainy,Village Road,Damaged,Dusk,Police Checkpost,85.0,65,Male,Valid,No,Straight Road,182.0,171.0,67.0,9.0,380.0,17.0,5.0
Assam,Unknown,2023.0,April,Sunday,5:27,Fatal,2,Pedestrian,0,0.0,Stormy,State Highway,Wet,Daylight,Signals,99.0,59,Female,Valid,No,Intersection,7421.0,5917.0,3296.0,352.0,3520.0,334.0,156.0
Odisha,Unknown,2018.0,May,Wednesday,0:29,Serious,3,Pedestrian,0,3.0,Hazy,Urban Road,Wet,Dusk,,30.0,41,Female,,No,Intersection,11989.0,10367.0,5737.0,,,,
Mizoram,Unknown,2018.0,June,Friday,16:53,Serious,4,Truck,0,2.0,Hazy,Village Road,Dry,Dark,,97.0,68,Male,,Yes,Intersection,47.0,53.0,49.0,27.0,14.0,2.0,0.0
Gujarat,Vadodara,2023.0,March,Wednesday,13:40,Fatal,3,Truck,2,3.0,Foggy,Urban Road,Wet,Dawn,Signs,105.0,59,Male,Expired,No,Intersection,16349.0,15383.0,7854.0,64.0,13314.0,733.0,662.0
Meghalaya,Unknown,2018.0,April,Tuesday,2:42,Serious,5,Auto-Rickshaw,6,2.0,Hazy,State Highway,Under Construction,Dawn,Signs,94.0,45,Female,Expired,Yes,Straight Road,232.0,259.0,168.0,35.0,146.0,0.0,0.0
Karnataka,Mysore,2019.0,October,Monday,5:10,Minor,4,Bus,10,2.0,Stormy,Village Road,Wet,Dark,,44.0,42,Female,,Yes,Bridge,43439.0,52547.0,12322.0,396.0,31506.0,900.0,292.0
Uttarakhand,Unknown,2020.0,April,Saturday,16:57,Minor,3,Bus,6,2.0,Clear,State Highway,Wet,Dark,Police Checkpost,66.0,25,Female,Expired,Yes,Straight Road,1691.0,1488.0,1054.0,40.0,736.0,105.0,0.0
Delhi,Dwarka,2018.0,January,Tuesday,4:43,Serious,5,Two-Wheeler,1,4.0,Rainy,State Highway,Under Construction,Dusk,,77.0,63,Female,,Yes,Intersection,5715.0,4880.0,1457.0,164.0,1696.0,131.0,129.0
Jharkhand,Unknown,2022.0,April,Thursday,0:43,Fatal,4,Cycle,10,3.0,Clear,State Highway,Dry,Dark,Police Checkpost,38.0,57,Female,,Yes,Straight Road,5316.0,3586.0,4173.0,543.0,652.0,169.0,110.0
Assam,Unknown,2020.0,April,Saturday,19:42,Minor,1,Car,3,2.0,Clear,Village Road,Damaged,Dark,Signals,43.0,60,Female,,No,Straight Road,7421.0,5917.0,3296.0,352.0,3520.0,334.0,156.0
Jammu and Kashmir,Unknown,2023.0,February,Saturday,9:18,Fatal,1,Cycle,3,1.0,Clear,National Highway,Dry,Dusk,Signals,41.0,62,Male,,No,Bridge,6300.0,8416.0,897.0,,,,
Punjab,Unknown,2018.0,April,Tuesday,15:40,Serious,5,Car,1,3.0,Stormy,National Highway,Dry,Dark,Police Checkpost,30.0,49,Female,,No,Curve,6276.0,3305.0,4906.0,317.0,2517.0,512.0,194.0
Jammu and Kashmir,Unknown,2023.0,December,Friday,17:12,Fatal,5,Cycle,10,3.0,Rainy,Urban Road,Under Construction,Dark,Signals,68.0,61,Female,Expired,Yes,Intersection,6300.0,8416.0,897.0,,,,
Gujarat,Vadodara,2018.0,August,Thursday,9:3,Minor,4,Pedestrian,10,0.0,Foggy,National Highway,Dry,Dawn,Signals,74.0,21,Female,Expired,No,Bridge,16349.0,15383.0,7854.0,64.0,13314.0,733.0,662.0
Maharashtra,Nagpur,2019.0,June,Monday,16:44,Minor,2,Car,5,5.0,Hazy,State Highway,Under Construction,Dawn,Signals,101.0,45,Female,,Yes,Bridge,31347.0,28212.0,15434.0,226.0,23643.0,1922.0,765.0
Manipur,Unknown,2020.0,May,Sunday,8:53,Minor,5,Two-Wheeler,10,1.0,Hazy,Urban Road,Wet,Daylight,Signals,33.0,24,Female,Valid,Yes,Bridge,398.0,636.0,73.0,71.0,57.0,39.0,0.0
Maharashtra,Nagpur,2023.0,May,Wednesday,12:2,Fatal,4,Two-Wheeler,7,1.0,Hazy,Urban Road,Under Construction,Dusk,Signs,57.0,49,Female,Expired,No,Straight Road,31347.0,28212.0,15434.0,226.0,23643.0,1922.0,765.0
Chandigarh,Unknown,2020.0,October,Wednesday,17:6,Minor,1,Car,1,1.0,Rainy,Village Road,Damaged,Dusk,,43.0,60,Male,Expired,Yes,Curve,182.0,171.0,67.0,9.0,380.0,17.0,5.0
Madhya Pradesh,Unknown,2022.0,July,Sunday,2:57,Minor,1,Car,8,2.0,Hazy,Urban Road,Dry,Dawn,Signs,81.0,18,Female,Expired,Yes,Intersection,54763.0,54699.0,14098.0,3083.0,28017.0,1300.0,657.0
Bihar,Unknown,2023.0,March,Monday,3:27,Fatal,4,Bus,1,1.0,Hazy,Village Road,Dry,Dusk,Signals,67.0,63,Female,Expired,No,Bridge,11014.0,6539.0,8873.0,593.0,2323.0,458.0,156.0
Tripura,Unknown,2022.0,February,Saturday,2:35,Fatal,4,Cycle,6,0.0,Foggy,State Highway,Under Construction,Dusk,Signals,98.0,64,Female,Expired,Yes,Curve,577.0,609.0,261.0,5.0,413.0,15.0,0.0
Madhya Pradesh,Unknown,2018.0,October,Tuesday,11:17,Serious,2,Bus,4,3.0,Clear,Village Road,Under Construction,Daylight,Signs,73.0,18,Female,Expired,No,Curve,54763.0,54699.0,14098.0,3083.0,28017.0,1300.0,657.0
Jharkhand,Unknown,2021.0,November,Tuesday,23:18,Minor,2,Bus,3,0.0,Stormy,Village Road,Dry,Dusk,,95.0,36,Male,Expired,Yes,Intersection,5316.0,3586.0,4173.0,543.0,652.0,169.0,110.0
Assam,Unknown,2022.0,May,Saturday,12:31,Minor,2,Bus,4,4.0,Stormy,Urban Road,Damaged,Dark,,82.0,27,Female,,Yes,Bridge,7421.0,5917.0,3296.0,352.0,3520.0,334.0,156.0
Punjab,Unknown,2018.0,August,Sunday,14:45,Serious,1,Cycle,3,1.0,Rainy,Village Road,Wet,Daylight,Signals,74.0,57,Male,Expired,No,Curve,6276.0,3305.0,4906.0,317.0,2517.0,512.0,194.0
Nagaland,Unknown,2018.0,July,Friday,9:17,Fatal,3,Auto-Rickshaw,7,3.0,Stormy,Urban Road,Damaged,Dawn,Signs,47.0,37,Male,Valid,No,Curve,35.0,46.0,37.0,13.0,11.0,0.0,0.0
Uttar Pradesh,Lucknow,2020.0,April,Saturday,1:29,Minor,4,Car,5,3.0,Clear,National Highway,Damaged,Daylight,,36.0,34,Female,Expired,No,Curve,37764.0,23843.0,23947.0,4633.0,10184.0,2560.0,1123.0
Gujarat,Ahmedabad,2022.0,August,Sunday,12:26,Serious,1,Two-Wheeler,3,3.0,Rainy,State Highway,Under Construction,Daylight,Signs,59.0,55,Female,Expired,Yes,Bridge,16349.0,15383.0,7854.0,64.0,13314.0,733.0,662.0
Tripura,Unknown,2020.0,August,Monday,16:40,Serious,5,Cycle,10,5.0,Rainy,National Highway,Dry,Dusk,Police Checkpost,37.0,40,Female,Expired,No,Straight Road,577.0,609.0,261.0,5.0,413.0,15.0,0.0
Assam,Unknown,2020.0,February,Saturday,12:7,Minor,2,Car,1,2.0,Stormy,Village Road,Damaged,Dusk,,73.0,61,Female,,Yes,Curve,7421.0,5917.0,3296.0,352.0,3520.0,334.0,156.0
Karnataka,Mysore,2020.0,December,Tuesday,12:46,Fatal,2,Car,9,0.0,Foggy,Urban Road,Dry,Dusk,,60.0,58,Male,Expired,Yes,Straight Road,43439.0,52547.0,12322.0,396.0,31506.0,900.0,292.0
Telangana,Unknown,2023.0,September,Sunday,13:12,Minor,1,Car,6,3.0,Stormy,State Highway,Dry,Dawn,Signs,84.0,52,Male,Expired,No,Bridge,22903.0,21022.0,7660.0,202.0,13615.0,156.0,37.0
Tripura,Unknown,2020.0,December,Sunday,10:51,Fatal,4,Auto-Rickshaw,4,4.0,Clear,State Highway,Dry,Daylight,Signs,100.0,62,Male,,No,Intersection,577.0,609.0,261.0,5.0,413.0,15.0,0.0
Andhra Pradesh,Tirupati,2019.0,August,Saturday,6:11,Serious,4,Cycle,5,3.0,Rainy,State Highway,Wet,Dusk,,98.0,44,Male,,No,Intersection,19949.0,20409.0,8137.0,128.0,17286.0,667.0,325.0
Kerala,Unknown,2022.0,April,Monday,5:20,Minor,3,Two-Wheeler,10,3.0,Clear,Urban Road,Under Construction,Dusk,,86.0,30,Male,Expired,Yes,Curve,45981.0,54326.0,4080.0,133.0,34062.0,1254.0,121.0
Jammu and Kashmir,Unknown,2019.0,March,Sunday,7:50,Serious,1,Car,0,0.0,Hazy,National Highway,Dry,Daylight,Police Checkpost,50.0,20,Male,Expired,Yes,Bridge,6300.0,8416.0,897.0,,,,
Goa,Unknown,2020.0,June,Sunday,15:50,Fatal,1,Auto-Rickshaw,8,5.0,Stormy,Village Road,Wet,Dark,Signals,49.0,51,Female,Valid,Yes,Curve,2847.0,1180.0,292.0,3.0,3883.0,19.0,0.0
Gujarat,Vadodara,2023.0,August,Wednesday,10:13,Serious,4,Pedestrian,5,4.0,Stormy,Village Road,Wet,Daylight,Signs,102.0,29,Male,Valid,No,Curve,16349.0,15383.0,7854.0,64.0,13314.0,733.0,662.0
Uttarakhand,Unknown,2021.0,May,Thursday,5:29,Fatal,2,Bus,2,2.0,Stormy,Village Road,Damaged,Daylight,Signals,86.0,27,Male,Valid,Yes,Straight Road,1691.0,1488.0,1054.0,40.0,736.0,105.0,0.0
Meghalaya,Unknown,2019.0,September,Friday,20:43,Fatal,5,Bus,2,4.0,Hazy,National Highway,Dry,Dusk,,103.0,64,Male,Expired,No,Straight Road,232.0,259.0,168.0,35.0,146.0,0.0,0.0
Manipur,Unknown,2022.0,August,Saturday,11:22,Minor,4,Car,8,4.0,Foggy,Village Road,Under Construction,Dark,Signals,41.0,37,Male,Expired,Yes,Straight Road,398.0,636.0,73.0,71.0,57.0,39.0,0.0
Chhattisgarh,Unknown,2020.0,October,Friday,18:43,Fatal,4,Auto-Rickshaw,3,5.0,Clear,State Highway,Damaged,Dusk,Signs,111.0,59,Male,Expired,No,Curve,13469.0,11724.0,6166.0,145.0,6660.0,410.0,175.0
Karnataka,Mysore,2022.0,December,Tuesday,22:37,Serious,4,Auto-Rickshaw,9,4.0,Stormy,Urban Road,Wet,Dusk,,92.0,20,Female,,No,Intersection,43439.0,52547.0,12322.0,396.0,31506.0,900.0,292.0
